"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.472075526602566,130.579888808579,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.841380235832185,2.67429622735979,9.88041471049937,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.525804457999766,2.60211958766635,30.1384169262872,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.7750723188743,1.83238936079776,10.2123292101826,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.503704903367907,119.050594385499,272.892596891378,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.539455144666135,16.0286715354541,69.7611328022754,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.85338152544573,9.50937787446802,40.5528400809529,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.622822217456996,1.82830466449788,9.61075628336425,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.812962955329567,8.12858342218616,25.0025867454023,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.801026362087578,3.36936677604474,13.3387729958123,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.595489679928869,2.23511657161031,9.76975805168071,0,0.2,0,NA,NA,1,0.087168358909706,0
"12","benthic shp",-1,0.623709480278194,2.97827397992768,11.4636499566533,0,0.2,0,NA,NA,1,0.000101829325384743,0
"13","Dungeness",-1,0.795220075547695,0.678116940832426,2.89012597048259,0,0.2,0,NA,NA,1,0.0959444575764934,0
"14","tanner crb",-1,0.775745767634362,0.29724767040325,1.70475110464757,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",10.7616357026027,-1,0.629748795952396,3.17766949477984,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.714785368088633,0.446788305034492,2.00863442150852,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.839187206327915,1.42321646770363,4.8483768991448,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.518741985224187,1.90264584386504,5.1602997243528,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.545543755870312,2.59255109307383,7.65966423207855,0,0.2,0,NA,NA,1,0.259272525414792,0
"20","Sardine",3.71550964140194,-1,0.523652943881335,4.94328848559408,0,0.2,0,NA,NA,1,0.452178922673149,0
"21","Anchovy",1.55704357221925,-1,1.00966364140417,6.18814062034042,0,0.2,0,NA,NA,1,0.0385182497230898,0
