"","DIETS","phytoplankton","infauna","amphipods","epibenthic","micro-zoop","copepods","euphausiids","carniv-zoops","small jellies","large jellies","pandalid shp","benthic shp","Dungeness","tanner crb","mesopelagics","Benthic fish","surf perch","Other cephal.","Market squid","Sardine","Anchovy","Herring","Pacific Mackerel","Sandlance","White bait smelt","Other smelt","Saury","Juv. rock.","Juv. hake","Juv. flat.","Juv. round.","Juv. thorny.","Yellowtail rock.","Black rock.","Nearshore rock.","Yelloweye rock.","Greenstriped","Shelf rock.","Shortbelly","Petrale sole","Halibut","Hake","Lingcod","Arrowtooth","Sablefish","Albacore","Salmon","Grenadiers","Dogfish","Canary rock.","P. Ocean Perch","Widow rock.","Splitnose rock.","Slope rock.","Shortspine thorny.","Longspine thorny.","Flatfish","Skates","Sharks","Common murre","Cassin's auklet","Rhino. auklet","Tufted Puffin","Cali. gull","Western Gull","Kittiwake","Albatross","Fulmar","Shearwater","Leach's S. Petrel","Transient Orcas","Resident Orcas","Porpoises","Humpback whale","Minke whale","Fin whale","Sperm whale","Harbor seals","Sea Lions","Juv. Ele. Seal","Adult N. Ele. Seal","Fur seals","Blue whale","Gray whale","Dolphins","Brandt's corm.","Double corm.","Pelagic cormorant","Murrelet","Pigeon Guillemot","Caspian tern","Brown Pelican"
"1","phytoplankton","0","0","0.179609488511029","0","0.790704063469644","0.821267975389683","0.896437645666236","0.026221452183146","0.484228705084479","0","0","0","0","0","0","0","0","0","0","0.24296648850597","0.305973092114136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","infauna","0","0","0","0.415038752085267","0","0","0","0","0","0","0.241761965802924","0.39784987166352","0.393652355385128","0.802215100271928","0","0.307777575307216","0.325087991748385","0","0","0.000477548259086327","0","0","0","0","0.0387137143953853","0.00155420263349077","0","0.00853652609083012","0","0.525713998068713","0","0","0","0","0.0185801256899583","0","0","0.00134722690090804","0","0","0.00103408609827047","0.00312429892485918","0","0.00160104579169199","0.0135436548106033","0","0","0.143582317005937","0","0","0","0","0","0","0.0354580609231314","0.144668985930598","0.746525209968002","0.0181122878732469","0","0","0","0","0.0154900758293878","0","0.00421504778131067","0","0.000733537624778094","0","0.0280977919467206","0.0102328798853474","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0152123659559657","0","0.00747868351444368","0","0.00127387462492934","0","0","0","0"
"3","amphipods","0","0","0","0.0158751422296534","0","0","0","0.0240358346148502","0","0","0.0157079408689714","0.0323456377881597","0.0275521095639133","0","0.03253103973712","0.177065681790654","0.0510902557624766","0.0636074975217493","0.00624594064038584","0.0084407277978977","0","0.0455675153121942","0.00563818879241142","0.385634987160071","0.00600756068705563","0.159021638424964","0.0310059584788792","0.00490732394953829","0.000744743782893967","0.229765262368292","0.00662076893197537","0","0.00309824105201068","0.00366396679112221","0.00165110135752813","0","0.00480589326861846","0.00302129564739342","0.0839576608734072","0.00458171828270927","0","0","0","0.00195885828777234","0.00162346376389258","0","0.00762922084030538","0.0490447503025406","0.00330969844321075","0.000289003660376967","0.0372040220077818","0.0429568810770469","0.0197491441853769","0.0118994632096739","0.0512403970779862","0.0336313718984289","0.059570616050219","0.00846803809462982","0","0","0.0233531059045576","0","0.000680543433586624","0.000179717712356434","0","0","0","0.0164890909762576","0.000289738163703957","0.017718717186989","0","0","0","0","0.00255215120906814","0","0","0","0","0","0","0","0","0.624477565003619","0","0","0","0","0","0","0","0"
"4","epibenthic","0","0","0","0","0","0","0","0","0","0","0.0492811182453039","0.400188649130723","0.211596841848885","0.107991409847854","0","0.397398912043471","0.235216083576808","0.000901566625539967","0","0","0","0.004848745299801","0.0493731723656265","0","0.290216366901024","0.238259750069135","0","0.0258491440670026","0.00734067968428333","0.21442691171715","0","0","0.00231356937704631","0.0351056904881077","0.0763735555012011","0.186366124586622","0.0523071589833979","0.0443006859757004","0","0.142393759565014","0.02560313800779","0.00229638665091168","0.051757218960838","0.0202151244028137","0.0490382391528932","0","0","0.143609378607048","0.0424952075807891","0","0.00406500880621736","0","0.000367934327950444","0.0158541644274238","0.0568262142551462","0.207966655711773","0.148673259901329","0.119904011152653","0.00231785765140631","0","0.0045087392882658","0","0","0","0.00665413915929365","0","0","0","0.00511305140530118","0.00219602641416617","0","0","0","0","0.000663692922232173","0","0","0.0174328106618786","0.00413354346669163","0","0.0450839858952949","0","0","0.0163413359755067","0","0","0","0","0","0","0","0"
"5","micro-zoop","0","0","0","0","0","0.178732024610317","0.0462997550533607","0.0270527728301782","0.285282666086781","0.0248150987655765","0","0","0","0","0","0","0","0","0","0.0109573337563871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","copepods","0","0","0","0","0","0","0.057262599280403","0.483680204777018","0","0.25974575441049","0.109134246592725","0","0","0","0.321872391561404","0","0.293706017639205","0.0729685525974413","0.0202577926420065","0.306545908497658","0.1415756224814","0.205021319231628","0.14864650396698","0.241590513384976","0.00802689931546749","0.161913875643847","0.0486318736038333","0.365939483260647","0.0749684246288621","0","0.817096724692758","0.222494859237674","0","0","0","0","0.00387944538021043","0.0352237420084774","0.0768634292476497","0","0","0","0","0","0","0","0.0231848032318716","0","0","0","0","0.00274857697978889","0.00339447899762167","0","0","0","0.00782656800630159","0","0","0","0.394610022463268","0","0.00135554842727834","0","0","0","0","0.0287947289536063","0","0.00108370058949687","0","0","0","0","0.00554664265733724","0.0185727541871636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","euphausiids","0","0","0","0","0","0","0","0.367482814381007","0","0.622262523731304","0.182772877752886","0","0","0","0.516562141800198","0","0","0.509477131625525","0.222029482274985","0.416059376743533","0.431724629502202","0.647035255474097","0.599345130278078","0.252300466442932","0.316222827364448","0.156145213561095","0.669642374859075","0.460376592929589","0.814386733262763","0","0.120416990669771","0.458820859658232","0.554281741016399","0.245448440246963","0.102186933585007","0","0.169869990658755","0.498761726080759","0.79452115444422","0.00406475912208813","0","0.718803992012977","0.00560121814792707","0.071093029990521","0.0784187019057629","0.00306329710212433","0.156245882887228","0","0.226786536046232","0.908325577350128","0.762197058532804","0.318122760447417","0.764498990353847","0.715955224384625","0","0","0.00444778191066122","0.0569723313999671","0.016661474338837","0.00891952826681572","0.383799876244276","0.0911263213375886","0.0389474467729824","0","0.0154377923525439","0.0164179264812993","0","0.0108986791161913","0.0724771011932753","0.293420042302917","0","0","0","0.272993151874683","0.586807328955376","0.76703187101825","0","0","0","0","0.0047024463101757","0","0.503585954906768","0.00148402745360555","0","0","0","0","0.134104520927869","0","0","0"
"8","carniv-zoops","0","0","0","0","0","0","0","0","0","0.0406471141112365","0.0373098492010824","0","0","0","0.0334129324477869","0","0","0.22349541294922","0.622495316423463","0.00274624762956822","0.014422388560175","0.0752959261463889","0.014985887112589","0.11232158415189","0.258392807612003","0.15042128928389","0","0.00491774984712227","0.0115807668982983","0","0.0324650011707177","0.264827187882115","0.0205066881331243","0.118855284801019","0.089807261085034","0","0.342303288452","0.00497177252734443","0.0446577554347231","0","0","0.0266871413835318","0.0164691788929374","0.000752362606870497","0.00791161602390374","0.0017653594952678","0.182523229862731","0","0.00928321176242213","0.00740079959404461","0.0715356507603413","0.187146270491742","0.161494465848833","0.0528570871393451","0.0115478820670041","0","0.000293875540203767","0.00445594501825404","0","0","0.00429423196591292","0","0","0","0","0","0.00516709245373825","0","0","0","0","0","0","0","0.0050641362479705","0.00792061403472503","0","0","0","0","0.0106595701234182","0","0","0.00168898682645713","0.0467255262175762","0","0","0.00433125613558846","0.021465669007706","0","0","0"
"9","small jellies","0","0","0","0","0","0","0","0.0453341702093515","0","0.0525295089813924","0","0","0","0","0.0423123635279408","0","0","0.0750584037070914","0.00936678698660488","0.0104765566905078","0.100424318194944","0.0020897564174009","0.026423315919114","0","0","0.063535947195424","0","3.79919870008847e-05","0","0","0","0.0538570932219793","0.063370886143082","0.0222769709793747","0.153430957932023","0","0","0","0","0","0","0","0","0","0.0368001635832265","0","0.011812118865351","0","0","0.00101033260323953","0","0.304249568658525","0","0","0.00455897264277031","0.0106097058883458","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00201324921720581","0","0","0","0","0.0223619355210055","0.0182226874947961","0","0","0","0","0","0","0","0","0","0","0"
"10","large jellies","0","0","0","0","0","0","0","0.0261927510044497","0","0","0","0","0","0","0.0199884772532199","0","0","0","0.0763544449202005","0","0","0","0.0263530514484229","0","0","0.0330375970848242","0","0","0","0","0","0","0.0093581174610958","0.0411569237098183","0.103622375338089","0","0","0","0","0","0","0","0","0","0.0317040123433635","0","0.00182287940056998","0","0.0517730665807631","0","0","0.043696220397442","0","0.00434406478378634","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00277668916691643","0.221436414754312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","pandalid shp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0108788699988955","0.0134221640982308","0.00583352791331155","0","0","0","0","0","0","0","0","0","0.028709209369865","0","0","0","0","0.0200696893468889","0","0.00140133700911179","0.0956970817658058","0.361156467767254","0.05794246494499","0","0.00788305943187766","0.0213317820996207","0.00810671485347509","0.00842645269557172","0.0313226573302658","0.0180816547268961","0","0","0.00883286336948771","0.00914938420597647","0.0380894225049043","0.0148586454246644","0.000985112103364088","0","0.0736880115380698","0.062965978193121","0.00777536914914991","0.0134194254550952","0.00715725197194124","0","0","0.0119923871524806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00809012984519147","0","0","0","0"
"12","benthic shp","0","0","0","0","0","0","0","0","0","0","0","0","0.214287107945127","0","0","0.0486759526101153","0.0262660963338531","0.00574774938257037","0","0","0","0","0.00392833832999066","0","0","0","0","0.0706037965045944","0.0135947232919953","0.0300938278458449","0","0","0","0.0429293015653729","0.19769940978485","0.00734479976335318","0.00770974111083065","0.0114313730693895","0","0.199353828844077","0.0133944556156791","0.0202803999560695","0.0103116229653213","0.000912533043818073","0.00122516206938775","0","0","0.0454382228168033","0.0141292848765929","0","0","0","0.00103870374430974","0.00615828354195249","0.157217523405927","0.24930056755997","0.0144483437734826","0.266506355903434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00424570040170883","0","0","0","0"
