"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"1","phytoplankton",-1,0.598442416638136,120.824161357064,0,1,0,0,NA,NA,1,0,0
"2","infauna",-1,0.625672286283225,3.50826899677009,12.9063258670581,0,0.2,0,NA,NA,1,0,0
"3","amphipods",-1,0.543834359850734,3.75316972110054,30.6738195875399,0,0.2,0,NA,NA,1,0,0
"4","epibenthic",-1,0.66596829239279,2.04014359965722,7.94667133183375,0,0.2,0,NA,NA,1,0,0
"5","micro-zoop",-1,0.604531207121909,149.035544342129,280.553135326393,0,0.2,0,NA,NA,1,0,0
"6","copepods",-1,0.522222527768463,12.0957366715464,61.4003254608258,0,0.2,0,NA,NA,1,0,0
"7","euphausiids",-1,0.702270217426121,9.10937038001302,33.9308498622304,0,0.2,0,NA,NA,1,0,0
"8","carniv-zoops",-1,0.724317402206361,1.87374482885491,6.88624921061058,0,0.2,0,NA,NA,1,0,0
"9","small jellies",-1,0.555750304553658,8.82411702508736,41.1449802631402,0,0.2,0,NA,NA,1,0,0
"10","large jellies",-1,0.635918033774942,4.3352859724761,11.5813722777731,0,0.2,0,NA,NA,1,0,0
"11","pandalid shp",-1,0.638506953418255,1.80016733676053,11.4735626404081,0,0.2,0,NA,NA,1,0.11677427166413,0
"12","benthic shp",-1,0.86104077482596,1.84357191395045,10.9488844757527,0,0.2,0,NA,NA,1,0.000105403511280746,0
"13","Dungeness",-1,0.805275044497103,0.712096616487267,3.71076484376206,0,0.2,0,NA,NA,1,0.100306278876419,0
"14","tanner crb",-1,0.898345893528312,0.304664927365983,1.73798359963686,0,0.2,0,NA,NA,1,0,0
"15","mesopelagics",11.160815529913,-1,0.482686974302227,3.08964075766579,0,0.2,0,NA,NA,1,0,0
"16","Benthic fish",-1,0.540570964291692,0.446654261462406,2.81835107928171,0,0.2,0,NA,NA,1,0,0
"17","surf perch",-1,0.788408918119967,1.13631637506465,5.00712354622078,0,0.2,0,NA,NA,1,0,0
"18","Other cephal.",-1,0.593002866953611,1.96299930758694,6.62452429156707,0,0.2,0,NA,NA,1,0,0
"19","Market squid",-1,0.579654537141323,2.72544006864197,12.5911620257404,0,0.2,0,NA,NA,1,0.310372563848461,0
"20","Sardine",2.87171104710121,-1,0.513551678806991,4.66943690865355,0,0.2,0,NA,NA,1,0.464376329916553,0
