"","DIETS","phytoplankton","infauna","amphipods","epibenthic","micro-zoop","copepods","euphausiids","carniv-zoops","small jellies","large jellies","pandalid shp","benthic shp","Dungeness","tanner crb","mesopelagics","Benthic fish","surf perch","Other cephal.","Market squid","Sardine","Anchovy","Herring","Pacific Mackerel","Sandlance","White bait smelt","Other smelt","Saury","Juv. rock.","Juv. hake","Juv. flat.","Juv. round.","Juv. thorny.","Yellowtail rock.","Black rock.","Nearshore rock.","Yelloweye rock.","Greenstriped","Shelf rock.","Shortbelly","Petrale sole","Halibut","Hake","Lingcod","Arrowtooth","Sablefish","Albacore","Salmon","Grenadiers","Dogfish","Canary rock.","P. Ocean Perch","Widow rock.","Splitnose rock.","Slope rock.","Shortspine thorny.","Longspine thorny.","Flatfish","Skates","Sharks","Common murre","Cassin's auklet","Rhino. auklet","Tufted Puffin","Cali. gull","Western Gull","Kittiwake","Albatross","Fulmar","Shearwater","Leach's S. Petrel","Transient Orcas","Resident Orcas","Porpoises","Humpback whale","Minke whale","Fin whale","Sperm whale","Harbor seals","Sea Lions","Juv. Ele. Seal","Adult N. Ele. Seal","Fur seals","Blue whale","Gray whale","Dolphins","Brandt's corm.","Double corm.","Pelagic cormorant","Murrelet","Pigeon Guillemot","Caspian tern","Brown Pelican"
"1","phytoplankton","0","0","0.159293490647717","0","0.681995135944252","0.794971277236903","0.91114239684665","0.0372593664855082","0.5056386711281","0","0","0","0","0","0","0","0","0","0","0.256209641568764","0.323478605610394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","infauna","0","0","0","0.493034406960687","0","0","0","0","0","0","0.238307154995952","0.459729192009964","0.410886625398744","0.797476884359544","0","0.30622874095913","0.412004199466535","0","0","0.00253515926194563","0","0","0","0","0.047833998001335","0.00283481798271547","0","0.00895774694030011","0","0.565559533883127","0","0","0","0","0.0259767278325859","0","0","0.0031545604370342","0","0","0.00215398436029538","0.00484267948439784","0","0.000882967817578518","0.0229325379357846","0","0","0.155527235299899","0","0","0","0","0","0","0.0500179523915524","0.153519357455278","0.783458363849544","0.020403100247294","0","0","0","0","0.00457696109172217","0","0.00597008443543253","0","0.000654731576624938","0","0.0206331320539222","0.0131384922634956","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0117962091306529","0","0.012056099149769","0","0.000598751590286373","0","0","0","0"
"3","amphipods","0","0","0","0.0143531183979722","0","0","0","0.0252687923085077","0","0","0.0192394786407003","0.0502797210108496","0.0209037437178526","0","0.0308115276529224","0.179393343241198","0.0679422655496339","0.0738930377853397","0.0044626456295847","0.00457995865671971","0","0.045608394932685","0.00416655161650174","0.400407828755383","0.00513940683779636","0.153680618471603","0.0380397729532832","0.00355225907339698","0.00466261352681064","0.18524203133055","0.00655893997152576","0","0.00173368635542775","0.00701915522180508","0.00229053166102108","0","0.00281176760797731","0.00851485705240186","0.0528766859716015","0.00243739523349547","0","0","0","0.000292305696774189","0.0000144037188122814","0","0.00852101926648427","0.0492413819412232","0.00639482427909434","0.000537701561140996","0.0333550752960741","0.0251944819247443","0.0207315481146376","0.00947904577272892","0.0496762828830183","0.035112832234372","0.0531680698626992","0.0068533764245353","0","0","0.0237563502351489","0","0.00558561665518474","0.00183700529434373","0","0","0","0.0275304296161667","0.000649511293991678","0.0211678238557447","0","0","0","0","0.00282663223130423","0","0","0","0","0","0","0","0","0.609680595658471","0","0","0","0","0","0","0","0"
"4","epibenthic","0","0","0","0","0","0","0","0","0","0","0.0405870593474733","0.329291524116603","0.195731552015825","0.133835823313234","0","0.403235793606571","0.203881148576334","0.00646511675310762","0","0","0","0.002021252746486","0.0480165639432979","0","0.303275145141705","0.248800622318144","0","0.0237973886773793","0.00611260973460645","0.213203585436954","0","0","0.00366063602315236","0.0218697238914912","0.0687290979662975","0.180983294960483","0.0543603328404246","0.0510227617513896","0","0.144207041125667","0.0181350163864676","0.0031571868037502","0.0440899275844979","0.018832543015526","0.0510458453275811","0","0","0.147569660826501","0.0349805787675983","0","0.00327113202658374","0","0.000182835616430125","0.0145552505742542","0.0805274930752517","0.200138440042126","0.12499873400168","0.1150196988433","0.00244117732880388","0","0.00503010442370025","0","0","0","0.00548904036913522","0","0","0","0.0041448372059304","0.00274315905231598","0","0","0","0","0.0120267699682475","0","0","0.0288292941188063","0.0075079191980772","0","0.0455236711413923","0","0","0.0178384832430411","0","0","0","0","0","0","0","0"
"5","micro-zoop","0","0","0","0","0","0.205028722763097","0.039138912325944","0.0213891050441852","0.189890366300917","0.0225732734582081","0","0","0","0","0","0","0","0","0","0.00826586843081136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","copepods","0","0","0","0","0","0","0.049718690827406","0.488771116249619","0","0.311381862507169","0.104444412845045","0","0","0","0.326541551853297","0","0.251387686910516","0.0766165797324729","0.0120479201657372","0.309034579213032","0.111572419102457","0.189553203886919","0.135207306237306","0.226075027972315","0.00893261593088906","0.156163333640301","0.037437206140247","0.379732581273296","0.0835521188919844","0","0.842796913355247","0.170601866655054","0","0","0","0","0.00363730777797994","0.0183202318109089","0.0553976314586787","0","0","0","0","0","0","0","0.0273395307961197","0","0","0","0","0.0025295278259736","0.00111982016431984","0","0","0","0.00782717342330678","0","0","0","0.403149736197723","0","0.0113787742751169","0","0","0","0","0.0216021222241231","0","0.00218616521789747","0","0","0","0","0.00460409059199462","0.0132262885481815","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","euphausiids","0","0","0","0","0","0","0","0.360483954133145","0","0.622431842154144","0.20170311357444","0","0","0","0.530105242408732","0","0","0.514447333551552","0.230940539315184","0.402065592810873","0.456999803414472","0.675677852393409","0.60440627418368","0.276079997782114","0.286850180088429","0.132057762271746","0.650233320156736","0.444870586943934","0.801143075924087","0","0.102068961001482","0.516126379565669","0.575977367870539","0.263269320016785","0.077996672288514","0","0.136186279595636","0.506696823319828","0.848252036508092","0.00144390015358897","0","0.670773772745764","0.00433233697640407","0.0701923620576772","0.0755471612758262","0.00422202454415172","0.162194514114516","0","0.222246974650486","0.928320202668619","0.767916749153131","0.281084899311775","0.785222390407857","0.736255700798148","0","0","0.00758938904079704","0.0462272089650103","0.0112837805912644","0.00701800491907045","0.396630374550669","0.0863628990855736","0.0384958335490883","0","0.00785770564221188","0.00625662945680423","0","0.0289573397876927","0.063439118762812","0.309618468347943","0","0","0","0.296198351284826","0.48009340540969","0.777661881526438","0","0","0","0","0.00280189289426158","0","0.526671072694257","0.000506059706184081","0","0","0","0","0.147525869316995","0","0","0"
"8","carniv-zoops","0","0","0","0","0","0","0","0","0","0.0119151563980582","0.0274501750025676","0","0","0","0.0329585697729944","0","0","0.141114789763109","0.618839314702403","0.00199240176595177","0.0182977146864138","0.0694727933569582","0.0165444025897035","0.0923973950347302","0.256639424880302","0.149333665321705","0","0.00508144429341618","0.0197411271328491","0","0.0307861736560214","0.254828121466649","0.0238629393283332","0.133152122973322","0.114010517322938","0","0.326757935268949","0.00932629380810472","0.0434736460616281","0","0","0.0203679085926306","0.00956670530517031","0.000604148687683465","0.00838994762503782","0.00323736053335849","0.180661343927266","0","0.00382137628327673","0.00802246828147289","0.0616195858279344","0.202702994610891","0.160357273743121","0.0522405460478229","0.0066024203056963","0","0.00129935944070628","0.00496714134498787","0","0","0.00378873891644902","0","0","0","0","0","0.00264986282140007","0","0","0","0","0","0","0","0.00370088998550522","0.0107518268029544","0","0","0","0","0.009820143879479","0","0","0.0109460479878716","0.0323019326241571","0","0","0.00514068025575884","0.0384100606526747","0","0","0"
"9","small jellies","0","0","0","0","0","0","0","0.0485321192802196","0","0.0316978654824207","0","0","0","0","0.0436142333028473","0","0","0.115209655367859","0.00745362700309724","0.00989240950835365","0.0854541825720379","0.00156487150011462","0.0187007887025941","0","0","0.0791281207812743","0","0.000498106389308627","0","0","0","0.0584436323126287","0.0555191003356961","0.0154215721163204","0.13879846202029","0","0","0","0","0","0","0","0","0","0.0399597487172004","0","0.0109886236758727","0","0","0.000812772030645591","0","0.337047942104064","0","0","0.00287194123813017","0.0100454898278003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000455584768327314","0","0","0","0","0.0144545329120797","0.00977838613918225","0","0","0","0","0","0","0","0","0","0","0"
"10","large jellies","0","0","0","0","0","0","0","0.0182955464988157","0","0","0","0","0","0","0.0133799928093803","0","0","0","0.0913630799097875","0","0","0","0.0202730393684864","0","0","0.044543025994015","0","0","0","0","0","0","0.00852133614541198","0.0350874345860415","0.0974888838632141","0","0","0","0","0","0","0","0","0","0.0171278031527399","0","0.00257177673869005","0","0.0451147356203491","0","0","0.0436953598889894","0","0.00242997511992515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00230795142729768","0.21069545138859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
