Group,Biomass,EE,PB,QB,Type,Unassim,BioAcc,ProdCons,DetInput,DetritusFate,Fleet1_Landings,Fleet1_Discards
phytoplankton,33.48094961,,120,,1,0,0,,,1,0,0
infauna,26.68609279,,2.5,12,0,0.2,0,,,1,0,0
amphipods,6.431812122,,3.5,22,0,0.2,0,,,1,0,0
epibenthic,8.451087686,,2,10,0,0.2,0,,,1,0,0
micro-zoop,2.092608052,,100,300,0,0.2,0,,,1,0,0
copepods,8.723424851,,14,70,0,0.2,0,,,1,0,0
euphausiids,16.53404366,,8,40,0,0.2,0,,,1,0,0
carniv-zoops,7.209817121,,2,10,0,0.2,0,,,1,0,0
small jellies,1.255886382,,9,30,0,0.2,0,,,1,0,0
large jellies,1.248589922,,3,12,0,0.2,0,,,1,0,0
pandalid shp,0.600169032,,2,10,0,0.2,0,,,1,0.10557947,0
benthic shp,1.192872404,,2.5,12,0,0.2,0,,,1,0.000102649,0
Dungeness,0.713867747,,0.75,3.8,0,0.2,0,,,1,0.091977295,0
tanner crb,0.787028522,,0.3,1.5,0,0.2,0,,,1,0,0
mesopelagics,9.933774834,,0.6,3,0,0.2,0,,,1,0,0
Benthic fish,2.982147534,,0.5,2.5,0,0.2,0,,,1,0,0
surf perch,0.093526088,,1.3,6,0,0.2,0,,,1,0,0
Other cephal.,2.249869465,,2,6,0,0.2,0,,,1,0,0
Market squid,0.717206129,,2.75,10,0,0.2,0,,,1,0.266986652,0
Sardine,3.240503311,,0.515,5,0,0.2,0,,,1,0.487482781,0
Anchovy,1.501728568,,1.09,6,0,0.2,0,,,1,0.038661258,0
Herring,0.662251656,,1.6,7.489,0,0.2,0,,,1,0.006460732,0
Pacific Mackerel,0.491839073,,0.514,6,0,0.2,0,,,1,0.026893709,0
Sand lance,0.783620019,,1,3.65,0,0.2,0,,,1,0,0
Whitebait smelt,0.0802732,,1.6,6,0,0.2,0,,,1,0,0
Other smelt,0.445290626,,1.5,6,0,0.2,0,,,1,0,0
Saury,1.149668874,,1.6,3.65,0,0.2,0,,,1,0,0
Juv. rock.,0.883201256,,1.5,6,0,0.2,0,,,1,0,0
Juv. hake,1.169427883,,1.750219,6.10087,0,0.2,0,,,1,0,0
Juv. flat.,0.836439491,,1,4,0,0.2,0,,,1,0,0
Juv. round.,0.203800081,,1.5,5.125006,0,0.2,0,,,1,0,0
Juv. thorny.,0.288943074,,0.5,2.5,0,0.2,0,,,1,0,0
Yellowtail rock.,0.545163633,,0.146,1.7,0,0.2,0,,,1,0.013772533,0
Black rock.,0.1242011,,0.129,2.01,0,0.2,0,,,1,0.003147359,0
Nearshore rock.,0.08012399,,0.158,2.01,0,0.2,0,,,1,0.001685619,0
Yelloweye rock.,0.008983841,,0.0505,2.2,0,0.2,0,,,1,4.40E-05,0
Greenstriped,0.097823179,,0.125,2.2,0,0.2,0,,,1,0.000125144,0
Shelf rock.,0.439965033,,0.159,2.2,0,0.2,0,,,1,0.001527953,0
Shortbelly,0.360264901,,0.26,2.2,0,0.2,0,,,1,2.48E-08,0
Petrale sole,0.078555298,,0.32,1.7,0,0.2,0,,,1,0.005351024,0
Halibut,0.18512944,,0.47,2.12,0,0.2,0,,,1,0.003187362,0
Hake,8.043867215,,0.41,1.956522,0,0.2,0,,,1,0.946896358,0
Lingcod,0.312460265,,0.295,2.4,0,0.2,0,,,1,0.003635714,0
Arrowtooth,0.344084437,,0.264,2.12,0,0.2,0,,,1,0.034198472,0
Sablefish,0.896231788,,0.0984,2,0,0.2,0,,,1,0.025024241,0
Albacore,0.095615672,,0.36,7.3,0,0.2,0,,,1,0.003644776,0
Salmon,0.124642576,,1.76,5.3,0,0.2,0,,,1,0.02536702,0
Grenadiers,0.36435566,,0.2,1,0,0.2,0,,,1,0.00036439,0
Dogfish,0.859089052,,0.0694,2.5,0,0.2,0,,,1,0.004742406,0
Canary rock.,0.077562914,,0.113,1.66,0,0.2,0,,,1,0.00218037,0
P. Ocean Perch,0.100933775,,0.0689,2.07,0,0.2,0,,,1,0.002277947,0
