,spp,ID,mean_biomass,sd_biomass,median_biomass,CI_lower,CI_upper,quant_2.5,quant_97.5,median.value,difference
1,Adult N. Ele. Seal,1,1.073104722,0.397052885,1.053745046,1.038301502,1.107907942,1.029185699,1.097520531,Increasing,0.068334832
2,Albacore,2,1.023308394,0.103350387,1.018137432,1.014249333,1.032367455,1.008845983,1.031928803,Increasing,0.02308282
3,Albatross,3,1.029658224,0.106427652,1.023302282,1.020329429,1.038987019,1.005416869,1.056874046,Increasing,0.051457176
4,amphipods,4,1.03155016,0.517825349,1.007183267,0.986160767,1.076939553,0.999399318,1.019192681,Increasing,0.019793363
5,Anchovy,5,1.027050503,0.193386985,1.017524165,1.010099386,1.044001619,1.005429191,1.034750573,Increasing,0.029321382
6,Arrowtooth,6,1.018988943,0.44595401,0.997111936,0.97989935,1.058078535,0.970452916,1.034492907,Decreasing,0.064039992
7,Benthic fish,7,1.044982935,1.23739213,0.989463575,0.936520732,1.153445137,0.975028364,0.999023197,Decreasing,0.023994834
8,benthic shp,8,1.053597447,1.295727829,0.995540885,0.940021896,1.167172999,0.986974477,1.001170713,Decreasing,0.014196236
9,Black rock.,9,1.076279783,0.548968125,1.049596444,1.028160606,1.124398961,1.028728444,1.082185053,Increasing,0.05345661
10,Blue whale,10,1.025560926,0.02226288,1.02343903,1.023609499,1.027512354,1.012442576,1.042510519,Increasing,0.030067944
11,Brandt's corm.,11,1.02746667,0.767838101,0.992709167,0.960162693,1.094770647,0.973373513,1.011202814,Decreasing,0.037829302
12,Brown Pelican,12,1.066926179,0.48606449,1.043627235,1.024320748,1.10953161,1.024011382,1.07293074,Increasing,0.048919357
13,Cali. gull,13,1.099626383,0.550991629,1.072523967,1.051329838,1.147922929,1.046398673,1.12091263,Increasing,0.074513957
14,Canary rock.,14,1.040593764,0.064995301,1.036023762,1.034896674,1.046290853,1.010360078,1.075702006,Increasing,0.065341928
15,carniv-zoops,15,1.078875345,0.880081501,1.036455054,1.001732801,1.15601789,1.014986187,1.081172856,Increasing,0.06618667
16,Caspian tern,16,1.08231915,0.947933536,1.03793721,0.999229112,1.165409188,1.023145463,1.063878766,Increasing,0.040733302
17,Cassin's auklet,17,1.036368642,0.122428746,1.028984237,1.025637289,1.047099995,1.015046436,1.052753452,Increasing,0.037707016
18,Common murre,18,1.073022868,0.896867999,1.031409738,0.994408922,1.151636815,1.015199864,1.056658823,Increasing,0.041458959
19,copepods,19,1.00679366,0.074033416,1.002600425,1.000304345,1.013282975,0.994116471,1.017275,Increasing,0.023158529
20,Detritus,20,1.045435078,1.053929799,0.997759823,0.953054058,1.137816098,0.994121118,0.9992402,Decreasing,0.005119081
21,Dogfish,21,1.0443857,0.552582803,1.018144187,0.995949682,1.092821719,1.006738474,1.040505089,Increasing,0.033766615
22,Dolphins,22,0.917269181,0.600490093,0.892599923,0.864633904,0.969904459,0.829435926,0.946968751,Decreasing,0.117532826
23,Double corm.,23,1.032832889,0.803236583,0.996363457,0.962426098,1.103239679,0.984937336,1.009585995,Decreasing,0.024648659
24,Dungeness,24,1.054946856,1.224138744,0.999825105,0.947646364,1.162247348,0.992642992,1.004488092,Decreasing,0.0118451
25,epibenthic,25,1.043035287,1.025167868,0.996660285,0.953175361,1.132895212,0.992806312,0.999808124,Decreasing,0.007001812
26,euphausiids,26,1.060730654,0.570614414,1.033075088,1.010714095,1.110747213,1.017612445,1.063632354,Increasing,0.046019909
27,Fin whale,27,1.017000086,0.140221239,1.009149179,1.004709152,1.02929102,0.988532421,1.039041576,Increasing,0.050509155
28,Flatfish,28,1.044710653,1.004395054,0.999353859,0.956671545,1.132749761,0.98748762,1.008834302,Decreasing,0.021346682
29,Fulmar,29,1.087253833,0.407079324,1.065506672,1.051571757,1.122935909,1.035160871,1.121089401,Increasing,0.085928529
30,Fur seals,30,1.041994293,0.361484882,1.024089399,1.010308746,1.07367984,1.002325635,1.059813826,Increasing,0.057488191
31,Gray whale,31,1.041606637,0.775830139,1.005598627,0.973602127,1.109611147,0.999713558,1.016797679,Increasing,0.017084121
32,Greenstriped,32,1.06070669,0.908916521,1.018078962,0.981036645,1.140376736,0.994601309,1.050044387,Increasing,0.055443078
33,Grenadiers,33,1.068446822,1.126250946,1.015249391,0.969726574,1.16716707,0.986513353,1.06235314,Increasing,0.075839787
34,Hake,34,0.976580619,0.178597531,0.967110147,0.960925855,0.992235383,0.941931167,1.001880862,Decreasing,0.059949695
35,Halibut,35,1.054732091,0.777374167,1.017957536,0.986592241,1.122871941,1.001439847,1.043631486,Increasing,0.042191639
36,Harbor seals,36,1.008267337,0.735201829,0.975016611,0.943824055,1.072710619,0.95131559,0.993744529,Decreasing,0.042428939
37,Herring,37,1.052681748,0.062619267,1.048539869,1.047192927,1.058170568,1.032797986,1.074828108,Increasing,0.042030122
38,Humpback whale,38,1.024031656,0.105862287,1.018492538,1.014752417,1.033310895,1.010775029,1.031915055,Increasing,0.021140027
39,infauna,39,1.035821068,0.845047057,0.997682037,0.961749428,1.109892709,0.994044899,0.999500989,Decreasing,0.00545609
40,Juv. Ele. Seal,40,1.058591529,0.787961924,1.022206563,0.989523622,1.127659437,0.978376261,1.072791061,Increasing,0.0944148
41,Juv. flat.,41,1.044110605,1.087359112,0.996058164,0.948799376,1.139421833,0.978191071,1.00469233,Decreasing,0.026501259
42,Juv. hake,42,1.012042088,0.018843516,1.010689655,1.010390381,1.013693795,0.989019549,1.037918459,Increasing,0.048898909
43,Juv. rock.,43,1.034159134,0.256470369,1.022290376,1.011678515,1.056639753,1.009296778,1.037534595,Increasing,0.028237818
44,Juv. round.,44,1.003286967,0.08931669,1.00094654,0.995458014,1.01111592,0.969973531,1.021689037,Increasing,0.051715506
45,Juv. thorny.,45,1.074399333,0.272841329,1.059788722,1.050483737,1.09831493,1.039299794,1.100791457,Increasing,0.061491663
46,Kittiwake,46,1.067197601,0.613899923,1.036950321,1.0133869,1.121008302,1.013289887,1.079799336,Increasing,0.066509449
47,large jellies,47,1.155999892,0.750658834,1.115190734,1.090201744,1.22179804,1.052693044,1.242646027,Increasing,0.189952983
48,Leach's S. Petrel,48,0.810557776,0.475849555,0.788294688,0.768847724,0.852267829,0.710109933,0.863519093,Decreasing,0.15340916
49,Lingcod,49,1.072933403,1.17252412,1.018472908,0.970157132,1.175709674,1.004560796,1.041951125,Increasing,0.037390329
50,Longspine thorny.,50,0.961345795,1.157616756,0.909885696,0.859876212,1.062815378,0.882100398,0.930450094,Decreasing,0.048349696
51,Market squid,51,1.104264508,0.650787092,1.070778908,1.047220505,1.161308512,1.039367066,1.133744259,Increasing,0.094377193
52,mesopelagics,52,0.461565142,0.1858971,0.450449086,0.445270542,0.477859741,0.345853148,0.58028128,Decreasing,0.234428132
53,micro-zoop,53,0.981648013,0.062982194,0.986699174,0.97612738,0.987168646,0.970993395,0.994480972,Decreasing,0.023487578
54,Minke whale,54,1.057962636,0.2769642,1.043432595,1.033685653,1.082239618,1.026122378,1.071251038,Increasing,0.04512866
55,Murrelet,55,1.084333965,0.615165767,1.055255388,1.030412308,1.138255622,1.032599438,1.092008521,Increasing,0.059409083
56,Nearshore rock.,56,1.09942024,1.244672277,1.041455567,0.990319904,1.208520575,1.02011823,1.075735891,Increasing,0.055617662
57,Other cephal.,57,1.158136486,0.491523723,1.130346882,1.115052532,1.20122044,1.071599321,1.242068658,Increasing,0.170469338
58,Other smelt,58,1.059426809,0.893603576,1.019853936,0.981099003,1.137754616,0.99127045,1.042937054,Increasing,0.051666604
59,P. Ocean Perch,59,1.004723211,0.223339999,0.992547599,0.985146597,1.024299825,0.965622869,1.029654184,Decreasing,0.064031316
60,Pacific Mackerel,60,1.092986794,0.319078549,1.076326167,1.065018326,1.120955262,1.048347222,1.119032965,Increasing,0.070685743
61,pandalid shp,61,1.035847396,0.665675653,1.006594995,0.977498352,1.09419644,0.988836586,1.015456871,Increasing,0.026620285
62,Pelagic cormorant,62,1.060375232,1.155025406,1.007951789,0.959132791,1.161617673,0.996727163,1.018709113,Increasing,0.02198195
63,Petrale sole,63,1.069295601,1.491777749,1.002551858,0.938535516,1.200055686,0.984447045,1.016599265,Increasing,0.032152219
64,phytoplankton,64,0.99694576,0.013366978,0.996525224,0.995774093,0.998117427,0.991803333,0.998669434,Decreasing,0.0068661
65,Pigeon Guillemot,65,1.069166521,1.409699894,1.005421369,0.945600878,1.192732165,0.995093282,1.014366433,Increasing,0.019273151
66,Porpoises,66,1.072845073,0.595821287,1.043796322,1.020619035,1.125071112,1.006833199,1.106016463,Increasing,0.099183265
67,Resident Orcas,67,1.031237227,0.385901491,1.013308128,0.99741147,1.065062984,1.004223517,1.025237689,Increasing,0.021014172
68,Rhino. auklet,68,1.083673784,0.663779253,1.052510398,1.025490967,1.141856601,1.031073192,1.088337073,Increasing,0.057263881
