"","X","month","spp","biomass"
"1",1,1,"phytoplankton",1
"2",2,2,"phytoplankton",1
"3",3,3,"phytoplankton",1.00000000000001
"4",4,4,"phytoplankton",1.00000000000001
"5",5,5,"phytoplankton",0.999999999999996
"6",6,6,"phytoplankton",0.999999999999947
"7",7,7,"phytoplankton",0.999999999999863
"8",8,8,"phytoplankton",0.999999999999741
"9",9,9,"phytoplankton",0.999999999999583
"10",10,10,"phytoplankton",0.999999999999391
"11",11,11,"phytoplankton",0.99999999999917
"12",12,12,"phytoplankton",0.999999999998923
"13",13,13,"phytoplankton",0.999999999998655
"14",14,14,"phytoplankton",0.999999999998371
"15",15,15,"phytoplankton",0.999999999998076
"16",16,16,"phytoplankton",0.999988728819851
"17",17,17,"phytoplankton",0.999965228592549
"18",18,18,"phytoplankton",0.99992827058729
"19",19,19,"phytoplankton",0.999877975941301
"20",20,20,"phytoplankton",0.999815019007324
"21",21,21,"phytoplankton",0.999740511247102
"22",22,22,"phytoplankton",0.999655795052057
"23",23,23,"phytoplankton",0.999562322045762
"24",24,24,"phytoplankton",0.999461557993508
"25",25,25,"phytoplankton",0.999354918242372
"26",26,26,"phytoplankton",0.999243724185111
"27",27,27,"phytoplankton",0.999128148274333
"28",28,28,"phytoplankton",0.999009985136167
"29",29,29,"phytoplankton",0.998890976086788
"30",30,30,"phytoplankton",0.998772493103977
"31",31,31,"phytoplankton",0.998655529301877
"32",32,32,"phytoplankton",0.998540793562338
"33",33,33,"phytoplankton",0.99842876142495
"34",34,34,"phytoplankton",0.99831972425648
"35",35,35,"phytoplankton",0.998213828336519
"36",36,36,"phytoplankton",0.998111107821147
"37",37,37,"phytoplankton",0.998011511936739
"38",38,38,"phytoplankton",0.997914927409849
"39",39,39,"phytoplankton",0.997820776725985
"40",40,40,"phytoplankton",0.997735186153642
"41",41,41,"phytoplankton",0.99765908646353
"42",42,42,"phytoplankton",0.997593342473584
"43",43,43,"phytoplankton",0.99753793127126
"44",44,44,"phytoplankton",0.997492420179094
"45",45,45,"phytoplankton",0.997456064419918
"46",46,46,"phytoplankton",0.997427945619112
"47",47,47,"phytoplankton",0.99740705796061
"48",48,48,"phytoplankton",0.99739237496507
"49",49,49,"phytoplankton",0.99738289572069
"50",50,50,"phytoplankton",0.997377676577151
"51",51,51,"phytoplankton",0.997376155549394
"52",52,52,"phytoplankton",0.997371036823562
"53",53,53,"phytoplankton",0.99736105184817
"54",54,54,"phytoplankton",0.997344895005269
"55",55,55,"phytoplankton",0.99732210850134
"56",56,56,"phytoplankton",0.997292633311338
"57",57,57,"phytoplankton",0.997256736733074
"58",58,58,"phytoplankton",0.997214888848545
"59",59,59,"phytoplankton",0.997167685836294
"60",60,60,"phytoplankton",0.997115788222163
"61",61,61,"phytoplankton",0.997059876524334
"62",62,62,"phytoplankton",0.997000619177059
"63",63,63,"phytoplankton",0.996938084604287
"64",64,64,"phytoplankton",0.996879858168401
"65",65,65,"phytoplankton",0.996827594747459
"66",66,66,"phytoplankton",0.996782856692229
"67",67,67,"phytoplankton",0.996746203033888
"68",68,68,"phytoplankton",0.996717701195295
"69",69,69,"phytoplankton",0.99669702631501
"70",70,70,"phytoplankton",0.996683609577112
